"","Utility","census_tracts","J40_DAC","Total_population","Total_BIPOC","BIPOC_p","Black_p","mean_median_household_income","mean.Median.Number.Of.Rooms","mean.Median.Home.Value","Housing_burdened","Occupied_housing_units","pop_18_64_poverty","pop_18_64","low_income","low_income_below_federal200","less_high_school","Metro","Urbal_rural_code","renters","ENERGYBRDN","PM25","Utility_Name"
"1","Los Angeles Department of Water & Power",988,388,3919509,2796498,71.3,9,68167.1852610031,4.26352459016393,693753.088621444,780883,1370692,413689,2575306,1687280,1529555,855577,986,1.01215805471125,870395,2.06983805668016,28.6375532388664,"Los Angeles Department of Water & Power"
"2","Pacific Gas & Electric Company",2640,245,13153869,7648989,58.2,4.9,92688.3627002288,5.20903201219512,656942.863759166,1976317,4509811,931414,8042458,3743360,3646009,1718027,2309,1.82738636363636,1942167,2.16325757575758,30.1969729166667,"Pacific Gas & Electric Co."
"3","San Diego Gas & Electric",676,14,3600120,1893364,52.6,4.7,86654.3641791045,5.16865671641791,604553.192424242,612537,1230199,240076,2246875,1030330,966045,369887,673,1.07204142011834,559892,1.77366863905325,26.989625,"San Diego Gas & Electric Co"
"4","Southern California Edison",2683,652,13623866,9399399,69,6,77786.2414312618,5.26738229755179,525156.791492594,2074000,4227346,993113,8347978,4056950,4352309,2347641,2588,1.45687663063735,1787872,1.97763697353709,32.8224675736116,"Southern California Edison Co"
"5","Modesto Irrigation District",62,7,351864,182765,51.9,3.1,63639.3870967742,5.36290322580645,301077.419354839,50229,117652,27422,211152,83880,120526,56737,61,1.19354838709677,48780,3.06451612903226,41.0046177419355,"Modesto Irrigation District"
"6","Redding Electric Utility",22,0,89742,20092,22.4,1.5,56990.0454545455,5.25909090909091,266877.272727273,15902,35660,9466,51859,23645,31757,5573,22,1,16581,3.18181818181818,21.5101363636364,"City of Redding - (CA)"
"7","City of Riverside",64,21,318451,223734,70.3,6.1,70095.1587301587,5.22380952380952,350845.161290323,40493,88600,25702,197202,86331,111192,55830,64,1,40516,2.0625,36.2349703125,"City of Riverside - (CA)"
"8","PacifiCorp",24,0,70725,20302,28.7,2.2,44524.4166666667,4.93333333333333,187795.833333333,11335,29187,7563,36977,21289,30080,6791,1,7.74166666666667,9943,4.04166666666667,19.6100083333333,"PacifiCorp"
"9","City of Industry",7,3,26981,24665,91.4,1.2,72978.4285714286,5.6,487242.857142857,3225,7183,1110,17124,7543,8236,5194,7,1,2030,1.85714285714286,25.5509714285714,"City of Industry"
"10","Moreno Valley Utility",14,0,74176,65959,88.9,18.3,67034.2857142857,5.68571428571429,291807.142857143,9114,17423,6110,46970,15816,29426,17001,14,1,6153,2.42857142857143,22.23385,"City of Moreno Valley - (CA)"
"11","Power and Water Resource Pooling Authority",495,18,2597085,1616114,62.2,2.5,117101.074898785,5.26356275303644,937809.293032787,375967,877148,132931,1623897,716235,530102,274092,473,1.31353535353535,378956,1.5010101010101,28.432201010101,"Power and Water Resource Pooling Authority"
"12","City of Palo Alto",14,0,62865,29624,47.1,1.9,162188.428571429,5.11428571428571,1897857.85714286,8871,24766,2287,36687,10842,6981,1070,14,1,11350,0.928571428571429,28.6101642857143,"City of Palo Alto - (CA)"
"13","City of Ukiah Electric Utilities Division",3,2,16683,8042,48.2,1.1,54020,4.8,331866.666666667,2979,6224,1858,9955,5010,6838,2456,0,4,3559,2.66666666666667,41.7745666666667,"City of Ukiah Electric Utilities Division"
"14","Silicon Valley Power",22,0,125772,85090,67.7,3,121733.818181818,4.49545454545455,999831.818181818,17694,44160,5557,82646,36061,20962,6754,22,1,24624,0.636363636363636,29.97825,"Silicon Valley Power"
"15","Pasadena Water & Power",33,9,138651,89127,64.3,8.9,90311.9393939394,4.64848484848485,778818.181818182,26199,54217,12437,90309,42322,41028,15119,33,1,31147,1.42424242424242,35.3069363636364,"City of Pasadena - (CA)"
"16","Lassen Municipal Utility District",7,0,26164,9332,35.7,8.7,59659,5.14285714285714,199342.857142857,2659,7712,1430,10159,5530,8510,1621,0,5.28571428571429,2791,3,19.6608857142857,"Lassen Municipal Utility District"
"17","Imperial Irrigation District",73,23,404314,315913,78.1,2.3,53349.1944444444,5.00684931506849,256780.555555556,68110,127335,41955,226110,118210,181643,104580,67,1.59452054794521,47890,4.86301369863014,21.9590479452055,"Imperial Irrigation District"
"18","Azusa Light & Power",11,4,45497,39023,85.8,2.6,70377.3636363636,4.85454545454545,422836.363636364,5989,12519,3339,29702,16899,16357,9340,11,1,5780,1.63636363636364,30.4019090909091,"City of Azusa"
"19","Burbank Water & Power",25,6,105608,46154,43.7,3,81568.4583333333,4.52083333333333,700929.166666667,21514,42356,7006,70190,27101,25396,7410,24,4.92,25010,1.12,35.005752,"City of Burbank Water and Power"
"20","Sacramento Municipal Utility District",315,32,1521659,843551,55.4,9.9,71221.5492063492,5.38031746031746,356275.806451613,236966,541924,128878,938551,466837,500544,149480,315,1.04444444444444,243406,2.21587301587302,28.9700082539683,"Sacramento Municipal Util Dist"
"21","Turlock Irrigation District",40,7,238805,151408,63.4,2.6,57481.725,5.3225,275567.5,31601,71746,20213,141848,64029,97786,56733,36,1.6275,31142,3.25,39.03605,"Turlock Irrigation District"
"22","City of Anaheim Public Utilities Department",58,32,334169,255496,76.5,2.6,76475.1964285714,4.81428571428571,557409.090909091,50544,95384,25774,212009,137050,116110,71172,58,1,50054,1.48275862068966,39.0195431034483,"City of Anaheim - (CA)"
"23","City and County of San Francisco - Hetch Hetchy Water and Power",191,5,856966,510123,59.5,5,116199.35978836,4.18842105263158,1170336.71666667,134594,355016,56851,600271,308980,181032,86034,189,1.06335078534031,224838,1.10471204188482,30.2580942408377,"City & County of San Francisco"
"24","City of Banning Electric Department",7,0,31334,22276,71.1,8.3,44944.5714285714,5.22857142857143,202585.714285714,4971,9575,3850,17203,11847,16281,6854,7,1.14285714285714,3914,3.28571428571429,17.7268285714286,"City of Banning Electric Department"
"25","Lodi Electric Utility",13,0,55581,29794,53.6,2,56639.2307692308,4.97692307692308,289384.615384615,8807,19488,4525,32030,14878,22087,10218,13,1,9476,2.69230769230769,31.5057692307692,"City of Lodi - (CA)"
"26","Liberty Utilities",21,0,40616,12621,31.1,0.7,68226.5,5.03684210526316,537105.263157895,8523,16648,2915,26598,13813,12156,3046,0,6.09523809523809,7493,3.80952380952381,17.6359,"Liberty Utilities"
"27","Roseville Electric",25,0,110072,32565,29.6,2.2,86701.8,5.708,431552,17163,41527,5366,66634,18535,20595,4492,25,1,15136,1.8,22.507336,"City of Roseville - (CA)"
"28","City of Shasta Lake",3,0,9210,1924,20.9,1.4,53236.3333333333,5.1,198133.333333333,1836,3453,1038,5354,2505,4160,776,3,1,1474,3.33333333333333,20.6993666666667,"City of Shasta Lake"
"29","City of Cerritos",11,0,50143,43115,86,8.6,104616.909090909,6.11818181818182,686272.727272727,6371,15378,1445,29074,7567,7389,2263,11,1,3196,1,29.1576727272727,"City of Cerritos"
"30","Glendale Water & Power",40,20,200232,76679,38.3,1.8,73121.3,4.6925,673495,42547,74698,14755,129387,71014,62069,23367,40,1,48691,1.5,37.5633625,"City of Glendale - (CA)"
"31","Eastside Power Authority",41,7,242114,160980,66.5,2.4,54632.8536585366,5.31951219512195,207514.634146341,32390,74577,24582,139744,70088,104174,52193,39,1.34390243902439,31510,3.26829268292683,51.3084048780488,"Eastside Power Authority"
"32","Merced Irrigation District",31,0,153944,111482,72.4,3.5,52354.6129032258,5.35483870967742,238606.451612903,19479,46275,17560,87363,50933,72176,43243,31,1.06451612903226,23510,2.87096774193548,35.2950225806452,"Merced Irrigation District"
"33","Colton Electric Utility Department",12,4,56431,47123,83.5,5.9,57245.0833333333,4.88333333333333,252766.666666667,8011,16703,4294,35124,16827,24068,13557,12,1,7338,2.58333333333333,30.7222916666667,"City of Colton - (CA)"
"34","Bear Valley Electric Service",7,0,14559,4892,33.6,0.8,51739.4285714286,4.57142857142857,338528.571428571,3299,6131,1367,8336,4607,6054,1524,0,4,2632,5,20.9065428571429,"Bear Valley Electric Service"
"35","Port of Oakland",2,1,4745,4601,97,34.5,109494.5,4.25,330600,755,1162,546,3012,2193,2096,1544,2,1,595,1.5,26.98395,"Port of Oakland"
"36","Alameda Power & Telecom",13,0,64573,37042,57.4,7.2,107697.076923077,4.77692307692308,880523.076923077,9819,24714,2485,40436,15004,10825,4573,13,1,12405,1,38.7394,"Alameda Municipal Power"
"37","City of Healdsburg Electric Department",2,0,8493,3198,37.7,0,91079.5,5.4,734800,1371,3235,278,5135,2515,1664,538,2,1,1623,2,32.63565,"City of Healdsburg Electric Department"
"38","Trinity Public Utilities District",5,0,12700,2273,17.9,1,38408.4,4.44,289000,2544,5939,1515,6951,3880,5118,867,0,10.06,1864,5,17.54062,"Trinity Public Utilities District"
"39","City of Needles",1,0,4011,1261,31.4,3.6,34841,5,91500,656,1578,473,2161,1765,2083,409,0,7.2,805,3,18.4477,"City of Needles"
"40","Truckee Donner Public Utilities District",4,0,16657,2972,17.8,0.6,106692,5.675,605275,2540,6126,1216,10417,2824,2888,948,0,4.25,2029,1.75,21.930075,"Truckee Donner Public Utilities District"
"41","City of Vernon Municipal Light Department",1,0,45,37,82.2,2.2,42188,4.6,NA,3,21,0,30,17,2,4,1,1,18,1,12.8396,"City of Vernon"
"42","City of Lompoc Electric Division",8,2,37744,26642,70.6,4.9,62547.5,4.55,304714.285714286,5261,11228,3077,20684,15767,16061,8502,8,1,6921,1.75,26.4327375,"City of Lompoc Electric Division"
"43","Port of Stockton",1,1,7624,7336,96.2,4.6,60160,5.3,195500,835,1769,661,4629,2389,3961,2819,1,1,867,3,36.421,"Port of Stockton"
"44","Western Area Power Administration",3031,348,15566635,9750871,62.6,6.6,81431.9092414707,5.34597815292949,487033.290053405,2273544,5076656,1175362,9434587,4227234,4803987,2147328,2786,1.51154734411085,2087147,2.44836687561861,29.8849452325965,"Western Area Power Administration"
"45","Sonoma Clean Power",120,4,586996,214117,36.5,1.5,78542.8487394958,5.13025210084034,585939.495798319,105154,223782,37314,351345,141752,151635,54600,88,3.21166666666667,91685,2.375,35.5531708333333,"Sonoma Clean Power"
"46","Anza Electric Cooperative, Inc.",2,0,9380,2785,29.7,1.1,48036,4.8,260450,1912,3394,1076,5340,2681,4243,1240,1,6.5,1014,6,26.18035,"Anza Electric Cooperative, Inc."
"47","Surprise Valley Electrification Corporation",3,0,6261,1120,17.9,2,39883,5.1,180033.333333333,1058,2658,650,3314,1815,2796,766,0,9.1,716,4.33333333333333,21.4834,"Surprise Valley Electrification"
"48","Plumas-Sierra Rural Electric Cooperative",6,0,25353,9263,36.5,9.3,59052.3333333333,5.25,233000,2376,7030,1163,8914,5248,7879,1581,2,6.5,1944,4.33333333333333,22.83585,"Plumas-Sierra Rural Electric Cooperative"
